Hostname,Serial Number,VLAN ID,IP Address
960-960-SW-001,FDO1942U095,Vlan19,172.31.109.211
960-960-SW-002,FDO2016U0VG,Vlan19,172.31.109.212
960-960-SW-003,FDO2016U0RD,Vlan19,172.31.109.213
960-960-SW-004,FDO1942U08E,Vlan19,172.31.109.214
960-960-SW-005,FDO2012U139,Vlan19,172.31.109.215
960-960-SW-006,FDO2042T13G,Vlan19,172.31.109.216
960-960-SW-007,FDO2042T13F,Vlan19,172.31.109.217
960-960-SW-008,FDO2103T088,Vlan19,172.31.109.218
960-960-SW-009,FDO2130T0XR,Vlan19,172.31.109.221
PearsonSW_INTG,FDO2127T08T,Vlan19,172.31.109.222
PearsonSW_INTG,FDO2127T08T,Vlan20,172.31.107.133
Failed,,,
GTL1,FDO2127T097,Vlan19,172.31.109.224
GTL1,FDO2127T097,Vlan20,172.31.107.110
Failed,,,
SS45,FDO2125T1E2,Vlan19,172.31.109.226
SS45,FDO2125T1E2,Vlan20,172.31.107.106
RPCM,FDO2128T0XN,Vlan19,172.31.109.227
RPCM,FDO2128T0XN,Vlan20,172.31.107.155
SoftWaterSW1,FDO2232J14F,Vlan19,172.31.109.228
