9300SW_DAYTFL_DBHB_MDF_SW1,,
,,
Item,,Specification
Role,Switch# 1,Active
 ,Switch# 2,Standby
MAC Address,Switch# 1,308b.b2b3.c880
 ,Switch# 2,084f.f979.5880
Priority,Switch# 1,15
 ,Switch# 2,13
H/W Version,Switch# 1,Ready
 ,Switch# 2,Ready
Number of Ports,Switch# 1,62
 ,Switch# 2,62
Model,Switch# 1,C9300-48U
 ,Switch# 2,C9300-48U
S/W Version,Switch# 1,16.6.6
 ,Switch# 2,16.6.6
S/W Image,Switch# 1,CAT9K_IOSXE
 ,Switch# 2,CAT9K_IOSXE
Serial Number,Switch# 1, FJC2326U04B
 ,Switch# 2, FCW2329C0R4
Management Information,Hostname,9300SW_DAYTFL_DBHB_MDF_SW1
,IP Address,172.31.100.1 255.255.255.192
,Gateway,172.31.100.62
,,
3850SW_DAYTFL_WC4_SW1,,
,,
Item,,Specification
Role,Switch# 1,Active
MAC Address,Switch# 1,70c9.c6ab.3a80
Priority,Switch# 1,1
H/W Version,Switch# 1,V07
Serial Number,Switch# 1, FCW2248D0JR
Management Information,Hostname,3850SW_DAYTFL_WC4_SW1
,IP Address,172.31.105.201
,Gateway,172.31.105.254
,,
2960SW_DAYTFL_WC5_SW1,,
,,
Item,,Specification
Role,Switch# 1,Master
 ,Switch# 2,Member
MAC Address,Switch# 1,f8b7.e287.b980
 ,Switch# 2,f8b7.e23b.4080
Priority,Switch# 1,15
 ,Switch# 2,13
H/W Version,Switch# 1,4
 ,Switch# 2,4
Serial Number,Switch# 1, FCW2136B2E5
 ,Switch# 2, FCW2136B2EX
Management Information,Hostname,2960SW_DAYTFL_WC5_SW1
,IP Address,172.31.105.202
,Gateway,172.31.105.254
,,
